unique_words,frequency_garnett,frequency_fell,frequency_long
flashed,0,1,0
following,0,1,0
forests,0,1,0
frail,0,1,0
fro,0,1,0
fuss,0,1,0
garden,0,1,0
garden-gate,0,1,0
glances,0,1,0
glowing,0,1,0
graceful,0,1,0
gradually,0,1,0
grove,0,1,0
growled,0,1,0
half-way,0,1,0
heap,0,1,0
hears,0,1,0
heavy,0,1,0
hoarsely,0,1,0
holiday,0,1,0
homeward,0,1,0
horror,0,1,0
hotly,0,1,0
housekeeping,0,1,0
houses,0,1,0
idiots,0,1,0
inaudibly,0,1,0
including,0,1,0
insulted,0,1,0
intently,0,1,0
interfere,0,1,0
intruding,0,1,0
invite,0,1,0
irresolute,0,1,0
jail,0,1,0
job,0,1,0
jour,0,1,0
keeper,0,1,0
lacks,0,1,0
lap,0,1,0
large,0,1,0
leaped,0,1,0
less,0,1,0
light,0,1,0
lighter,0,1,0
long-nosed,0,1,0
longed,0,1,0
lot,0,1,0
love,0,1,0
maker,0,1,0
maksim,0,1,0
manage,0,1,0
massive,0,1,0
meadows,0,1,0
measured,0,1,0
memories,0,1,0
mien,0,1,0
mischievously,0,1,0
missed,0,1,0
missing,0,1,0
mistrustful,0,1,0
moan,0,1,0
mockingly,0,1,0
murmurs,0,1,0
nail,0,1,0
nearly,0,1,0
necessities,0,1,0
neighbouring,0,1,0
neither,0,1,0
nevertheless,0,1,0
nicely,0,1,0
nicholas,0,1,0
nicolaitch,0,1,0
notes,0,1,0
obvious,0,1,0
pain,0,1,0
panting,0,1,0
paralysed,0,1,0
pass,0,1,0
pawnshop,0,1,0
peaceful,0,1,0
petrified,0,1,0
pieces,0,1,0
pig,0,1,0
place,0,1,0
plied,0,1,0
point,0,1,0
pretty,0,1,0
protect,0,1,0
puzzled,0,1,0
quacking,0,1,0
quantities,0,1,0
queer,0,1,0
quivering,0,1,0
radiance,0,1,0
raises,0,1,0
rank,0,1,0
rattled,0,1,0
reached,0,1,0
realised,0,1,0
reasoning,0,1,0
recalled,0,1,0
receive,0,1,0
receiving,0,1,0
red-bearded,0,1,0
reddish,0,1,0
reeking,0,1,0
regretted,0,1,0
reluctant,0,1,0
rent,0,1,0
respected,0,1,0
restaurant,0,1,0
resulted,0,1,0
rowed,0,1,0
sailboats,0,1,0
sank,0,1,0
save,0,1,0
says,0,1,0
scraping,0,1,0
screaming,0,1,0
seat,0,1,0
seated,0,1,0
seized,0,1,0
serviceable,0,1,0
shaking,0,1,0
shall,0,1,0
shapovaloff,0,1,0
shining,0,1,0
shore,0,1,0
shuddered,0,1,0
sick,0,1,0
sing,0,1,0
sir,0,1,0
sky,0,1,0
smile,0,1,0
somebody,0,1,0
sorrowfully,0,1,0
span,0,1,0
sparkling,0,1,0
stared,0,1,0
staring,0,1,0
startled,0,1,0
state,0,1,0
stowed,0,1,0
stream,0,1,0
strings,0,1,0
strong,0,1,0
struck,0,1,0
struggling,0,1,0
subject,0,1,0
succession,0,1,0
suffocation,0,1,0
suggest,0,1,0
supporting,0,1,0
swam,0,1,0
sweetmeats,0,1,0
swimming,0,1,0
swine,0,1,0
tall,0,1,0
task,0,1,0
terribly,0,1,0
thrown,0,1,0
thursday,0,1,0
tiny,0,1,0
touch,0,1,0
townsfolk,0,1,0
trickle,0,1,0
trifling,0,1,0
trooping,0,1,0
troubled,0,1,0
trunk,0,1,0
trying,0,1,0
typhoid,0,1,0
ugly,0,1,0
unintelligibly,0,1,0
vexatious,0,1,0
vie,0,1,0
vigorously,0,1,0
vividness,0,1,0
wagon,0,1,0
weeps,0,1,0
whispered,0,1,0
wink,0,1,0
worker,0,1,0
worries,0,1,0
ye-es,0,1,0
yell,0,1,0
abortion,0,0,1
absent,0,0,1
abuse,0,0,1
accepted,0,0,1
act,0,0,1
acted,0,0,1
add,0,0,1
admirable,0,0,1
age,0,0,1
aged,0,0,1
akh,0,0,1
amassed,0,0,1
angrily,0,0,1
annum,0,0,1
apparently,0,0,1
army,0,0,1
artist,0,0,1
assuredly,0,0,1
attendant,0,0,1
audible,0,0,1
backward--nothing,0,0,1
bargee,0,0,1
bargee--it,0,0,1
barks,0,0,1
bed--all,0,0,1
beginning,0,0,1
begone,0,0,1
beneath,0,0,1
beyond,0,0,1
bind,0,0,1
birth,0,0,1
bleed,0,0,1
boiled,0,0,1
buffet,0,0,1
caught,0,0,1
cause,0,0,1
cheapness,0,0,1
clench,0,0,1
coffin--2,0,0,1
coffin-maker,0,0,1
coffin-making,0,0,1
coming,0,0,1
companion,0,0,1
complain,0,0,1
conductor,0,0,1
confused,0,0,1
consideration,0,0,1
contemptible,0,0,1
continued,0,0,1
contracting,0,0,1
creaked,0,0,1
cripples,0,0,1
crying,0,0,1
cursed,0,0,1
day--and,0,0,1
day-by,0,0,1
deacon's,0,0,1
decayed,0,0,1
deceased,0,0,1
distrust,0,0,1
distrustful,0,0,1
domestic,0,0,1
double-bass,0,0,1
draw,0,0,1
drunken,0,0,1
durable,0,0,1
ecstacy,0,0,1
ejaculated,0,0,1
ejaculates,0,0,1
emits,0,0,1
employ,0,0,1
empty,0,0,1
engage,0,0,1
enraptured,0,0,1
entered,0,0,1
escaped,0,0,1
eternally,0,0,1
everywhere,0,0,1
exclusive,0,0,1
exerted,0,0,1
fail,0,0,1
failed,0,0,1
farther,0,0,1
fault,0,0,1
feldscher's,0,0,1
feverishly,0,0,1
first-class,0,0,1
flat,0,0,1
fleshless,0,0,1
flooded,0,0,1
flourished,0,0,1
flowed,0,0,1
fond,0,0,1
food,0,0,1
force,0,0,1
forgive,0,0,1
formerly,0,0,1
free,0,0,1
fright,0,0,1
frown,0,0,1
frozen,0,0,1
furiously,0,0,1
gatherings,0,0,1
generally,0,0,1
gifts,0,0,1
glanced,0,0,1
glimmered,0,0,1
glory,0,0,1
godfather,0,0,1
grateful,0,0,1
group,0,0,1
growing,0,0,1
health,0,0,1
herod,0,0,1
hit,0,0,1
hod,0,0,1
hopped,0,0,1
horrified,0,0,1
husband,0,0,1
ilitch,0,0,1
imaginable,0,0,1
impatience,0,0,1
implied,0,0,1
implored,0,0,1
incalculable,0,0,1
inclined,0,0,1
incomprehensible,0,0,1
injure,0,0,1
inscribed,0,0,1
inspector's,0,0,1
internal,0,0,1
irritation,0,0,1
issue,0,0,1
ivanof,0,0,1
ivanova's,0,0,1
joiner's,0,0,1
joy,0,0,1
keep,0,0,1
knowledge,0,0,1
known,0,0,1
lanky,0,0,1
later,0,0,1
listeners,0,0,1
loud,0,0,1
makes,0,0,1
maliciously,0,0,1
managed,0,0,1
married,0,0,1
matvieitch,0,0,1
means,0,0,1
measurement,0,0,1
melancholy,0,0,1
merely,0,0,1
method,0,0,1
miracle-worker,0,0,1
mixtures,0,0,1
model,0,0,1
monday--another,0,0,1
multitude,0,0,1
mutter,0,0,1
muzhik,0,0,1
muzhiks,0,0,1
necessary,0,0,1
need,0,0,1
nikolai,0,0,1
note,0,0,1
object,0,0,1
obscure,0,0,1
offensive,0,0,1
old-women,0,0,1
organ,0,0,1
others,0,0,1
overtook,0,0,1
particularly,0,0,1
passionately,0,0,1
pasture,0,0,1
penetrated,0,0,1
per,0,0,1
perspired,0,0,1
petty,0,0,1
pineforest,0,0,1
piping,0,0,1
pitiable,0,0,1
plain,0,0,1
plainly,0,0,1
pleases,0,0,1
politer,0,0,1
positively,0,0,1
possible,0,0,1
poured,0,0,1
present,0,0,1
prevent,0,0,1
procession,0,0,1
puffed,0,0,1
pursued,0,0,1
railway,0,0,1
rang,0,0,1
raven's,0,0,1
regret,0,0,1
regrets,0,0,1
remain,0,0,1
remained,0,0,1
remembering,0,0,1
repair,0,0,1
replied,0,0,1
required,0,0,1
resembled,0,0,1
respectable,0,0,1
respectfully,0,0,1
returning,0,0,1
risen,0,0,1
rising,0,0,1
road,0,0,1
rooted,0,0,1
rowing,0,0,1
rushing,0,0,1
sadder,0,0,1
satisfied,0,0,1
scintillations,0,0,1
sense,0,0,1
shapely,0,0,1
shapovaloff's,0,0,1
sharp-nosed,0,0,1
sheet,0,0,1
shifted,0,0,1
shoulder,0,0,1
shrivelled,0,0,1
simple,0,0,1
single,0,0,1
sixty-nine,0,0,1
size,0,0,1
skilful,0,0,1
skill,0,0,1
skinny,0,0,1
small--no,0,0,1
smaller,0,0,1
smoothing,0,0,1
snapped,0,0,1
snored,0,0,1
snouts,0,0,1
social,0,0,1
speculations,0,0,1
squatted,0,0,1
stamped,0,0,1
stand,0,0,1
stone,0,0,1
surname,0,0,1
swore,0,0,1
tabouret,0,0,1
takings,0,0,1
talents,0,0,1
tangible,0,0,1
tapped,0,0,1
tasty,0,0,1
tedium,0,0,1
terrified,0,0,1
thanks,0,0,1
thick,0,0,1
thou,0,0,1
thresholdstone,0,0,1
thrusting,0,0,1
tiling,0,0,1
tiresome,0,0,1
together--caught,0,0,1
torment,0,0,1
touchingly,0,0,1
traders,0,0,1
tradesmen,0,0,1
tradespeople,0,0,1
transferred,0,0,1
treatment,0,0,1
try,0,0,1
turn,0,0,1
twinkled,0,0,1
twitched,0,0,1
twitching,0,0,1
unaccustomed,0,0,1
uncomfortable,0,0,1
underneath,0,0,1
understand,0,0,1
unnoticed,0,0,1
unused,0,0,1
unwell,0,0,1
unwillingly,0,0,1
usually,0,0,1
utensils,0,0,1
village--and,0,0,1
want,0,0,1
warding,0,0,1
watched,0,0,1
weariness,0,0,1
wept,0,0,1
whined,0,0,1
whisper,0,0,1
wicket,0,0,1
winding,0,0,1
winter-time--from,0,0,1
wished,0,0,1
wrapped,0,0,1
yawned,0,0,1
awoke,0,0,2
barges,0,0,2
bathing-place,0,0,2
become,0,0,2
care,0,0,2
caressed,0,0,2
country-house,0,0,2
decay,0,0,2
disgust,0,0,2
dispensary,0,0,2
door,0,0,2
drew,0,0,2
employed,0,0,2
entirely,0,0,2
eternity,0,0,2
excellent,0,0,2
frock-coat,0,0,2
high,0,0,2
idle,0,0,2
indeed,0,0,2
kindly,0,0,2
lodged,0,0,2
moment,0,0,2
near,0,0,2
peace,0,0,2
pity,0,0,2
remark,0,0,2
rememberest,0,0,2
soul,0,0,2
treated,0,0,2
tune,0,0,2
wachchch,0,0,2
wealthy,0,0,2
yacob,0,0,2
yakob's,0,0,2
yardwand,0,0,2
yellow,0,0,2
cannot,0,0,3
hitch,0,0,3
shakhkes,0,0,3
cabin,0,0,4
heavily,0,0,4
feldscher,0,0,7
bronza,0,0,9
yakob,0,0,44
--,1,0,0
--green,1,0,0
absence,1,0,0
acute,1,0,0
addressed,1,0,0
afloat,1,0,0
afterwards,1,0,0
again--that,1,0,0
agitated,1,0,0
agonizing,1,0,0
ailing,1,0,0
annoying,1,0,0
anyway,1,0,0
apart,1,0,0
apparent,1,0,0
apprehensively,1,0,0
articulated,1,0,0
articulates,1,0,0
artists,1,0,0
assistant's,1,0,0
audibly,1,0,0
audience,1,0,0
back--there,1,0,0
bade,1,0,0
bar-keeper,1,0,0
beckoned,1,0,0
belongings,1,0,0
besought,1,0,0
bewildered,1,0,0
bids,1,0,0
birchwood,1,0,0
bits,1,0,0
blazing,1,0,0
blow,1,0,0
bluish,1,0,0
bonjour,1,0,0
bosom,1,0,0
bred,1,0,0
bring,1,0,0
cheap,1,0,0
classes,1,0,0
clicking,1,0,0
close,1,0,0
committed,1,0,0
conducted,1,0,0
couple,1,0,0
craving,1,0,0
crayfish,1,0,0
crazy,1,0,0
creditable,1,0,0
crony,1,0,0
crow's,1,0,0
crowded,1,0,0
curlews,1,0,0
dainty,1,0,0
daybreak,1,0,0
deal,1,0,0
decent,1,0,0
decorous,1,0,0
depression,1,0,0
desperate,1,0,0
disgusting,1,0,0
distance,1,0,0
divine's,1,0,0
doctored,1,0,0
dozen,1,0,0
dragged,1,0,0
dread,1,0,0
dreams,1,0,0
drearily,1,0,0
due,1,0,0
dull,1,0,0
else,1,0,0
experiencing,1,0,0
failing,1,0,0
fancy,1,0,0
feelingly,1,0,0
ferociously,1,0,0
feverish,1,0,0
flocks,1,0,0
flung,1,0,0
flush,1,0,0
fluttered,1,0,0
folding,1,0,0
foot-rule,1,0,0
forced,1,0,0
forlorn,1,0,0
fortress,1,0,0
fortune,1,0,0
friendly,1,0,0
gasping,1,0,0
gate,1,0,0
gazed,1,0,0
glitter,1,0,0
god's,1,0,0
good-day,1,0,0
goodbye,1,0,0
gracious,1,0,0
grand,1,0,0
grave-digger,1,0,0
greenish,1,0,0
greetings,1,0,0
grieving,1,0,0
grizzled,1,0,0
h------m,1,0,0
happiness,1,0,0
haunted,1,0,0
heard,1,0,0
help,1,0,0
herods,1,0,0
hillside,1,0,0
hinder,1,0,0
huge,1,0,0
humble,1,0,0
i'll,1,0,0
i'm,1,0,0
ideas,1,0,0
ill-treated,1,0,0
infrequency,1,0,0
inside,1,0,0
ironically,1,0,0
ivanov,1,0,0
ivanov's,1,0,0
jews',1,0,0
jobs,1,0,0
join,1,0,0
joyful-looking,1,0,0
killing,1,0,0
laughter,1,0,0
leapt,1,0,0
liveliest,1,0,0
man's,1,0,0
matveyitch,1,0,0
meeting,1,0,0
met,1,0,0
misfortunes,1,0,0
mistrustfully,1,0,0
morosely,1,0,0
mortifying,1,0,0
mount,1,0,0
mournfully,1,0,0
muttered,1,0,0
needful,1,0,0
nice,1,0,0
nikolay,1,0,0
noise,1,0,0
noisy,1,0,0
nonsensical,1,0,0
nose,1,0,0
nudged,1,0,0
numb,1,0,0
o'clock,1,0,0
once--catching,1,0,0
ones,1,0,0
oo-oo,1,0,0
pang,1,0,0
partner,1,0,0
patch,1,0,0
perfect,1,0,0
perhaps,1,0,0
perplexed,1,0,0
persist,1,0,0
perspiring,1,0,0
pick,1,0,0
pinch,1,0,0
pitiful,1,0,0
pleased,1,0,0
plump,1,0,0
possessed,1,0,0
previous,1,0,0
profitless,1,0,0
quarrels,1,0,0
rail,1,0,0
random,1,0,0
realized,1,0,0
receipts,1,0,0
reckoned,1,0,0
refined,1,0,0
reflection,1,0,0
revolted,1,0,0
rosy,1,0,0
rosy-cheeked,1,0,0
rouble,1,0,0
sacristan,1,0,0
sail,1,0,0
saints,1,0,0
scabby,1,0,0
scarcely,1,0,0
scared,1,0,0
screwing,1,0,0
sending,1,0,0
set,1,0,0
settled,1,0,0
seven,1,0,0
shake,1,0,0
shapovalov,1,0,0
sharp,1,0,0
she'll,1,0,0
shout,1,0,0
shriek,1,0,0
shrink,1,0,0
sideways,1,0,0
silence,1,0,0
singing,1,0,0
sized,1,0,0
skips,1,0,0
slaughtered,1,0,0
slender,1,0,0
snuff,1,0,0
soared,1,0,0
solid,1,0,0
sort,1,0,0
speak,1,0,0
special,1,0,0
spitefully,1,0,0
squeaked,1,0,0
straight,1,0,0
strained,1,0,0
straining,1,0,0
strike,1,0,0
string,1,0,0
stronger,1,0,0
suggested,1,0,0
talent,1,0,0
tips,1,0,0
told,1,0,0
trade,1,0,0
ugh,1,0,0
unanimity,1,0,0
undertaker,1,0,0
unintelligible,1,0,0
unruffled,1,0,0
unseemly,1,0,0
unsuccessful,1,0,0
unwilling,1,0,0
uselessly,1,0,0
utter,1,0,0
uttering,1,0,0
visions,1,0,0
visitors,1,0,0
vividly,1,0,0
waiting,1,0,0
wandered,1,0,0
ward,1,0,0
we,1,0,0
wheezed,1,0,0
whistle,1,0,0
windows,1,0,0
winked,1,0,0
wish,1,0,0
woe,1,0,0
woman's,1,0,0
wonder-worker's,1,0,0
working,1,0,0
wretched,1,0,0
wriggled,1,0,0
yakov's,1,0,0
ye---es,1,0,0
youthful,1,0,0
affectionate,2,0,0
bathing-shed,2,0,0
beads,2,0,0
became,2,0,0
chief,2,0,0
chill,2,0,0
consulting,2,0,0
continually,2,0,0
copse,2,0,0
doorway,2,0,0
fellow,2,0,0
flaxen,2,0,0
front,2,0,0
grazing,2,0,0
heaved,2,0,0
here's,2,0,0
laboured,2,0,0
liked,2,0,0
likely,2,0,0
moved,2,0,0
offended,2,0,0
province,2,0,0
rage,2,0,0
reckoning,2,0,0
rule,2,0,0
shouting,2,0,0
sorrowful,2,0,0
sorts,2,0,0
spent,2,0,0
superintendent,2,0,0
there's,2,0,0
trickled,2,0,0
unlucky,2,0,0
vachhh,2,0,0
wailed,2,0,0
willows,2,0,0
wondered,2,0,0
benefit,3,0,0
crimson,3,0,0
shahkes,3,0,0
trumpery,3,0,0
willow-tree,3,0,0
big,4,0,0
ilyitch,4,0,0
moisey,4,0,0
wasted,6,0,0
yakov,45,0,0
